test_name,rRMSE,pde_loss,bc_loss,ic_loss,total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
burgers_2d_73,0.6504785418510437,0.05481329932808876,0.003571301931515336,0.12971806526184082,0.18810266256332397,249.39282608032227,2,40,relu,71693,42,0.0058162191048491
burgers_2d_74,0.0862872377038002,8.608039206592366e-05,1.2828833177991328e-06,0.00013747323828283697,0.00022483651991933584,1013.7297246456146,7,73,sin,93736,116,0.0001328512003763
burgers_2d_75,0.6472759246826172,0.053753845393657684,0.0010691597126424313,0.12299572676420212,0.17781873047351837,621.7910206317902,6,57,relu,82990,80,1.5634617514704315e-05
burgers_2d_76,0.11177005618810654,0.0015675994800403714,1.0208157618762925e-05,0.0011020334204658866,0.0026798411272466183,544.5833809375763,3,77,sin,88353,92,0.0046035959164681
burgers_2d_77,0.2664860785007477,0.0004016118764411658,2.998718628077768e-06,0.0002295665181009099,0.0006341771222651005,1057.3042209148407,10,76,tanh,69548,72,0.0008214797130827
burgers_2d_78,0.6507347822189331,0.05493219196796417,0.002785781165584922,0.13078291714191437,0.18850088119506836,604.961305141449,4,60,relu,98246,194,1.456972663264383e-05
burgers_2d_79,0.6483946442604065,0.05353249981999397,0.003111431375145912,0.1275092214345932,0.18415315449237823,324.20132422447205,5,86,relu,50142,76,0.0024157781493969
burgers_2d_80,0.5063936710357666,0.04795040190219879,0.0007732892408967018,0.06525353342294693,0.11397722363471985,325.5247504711151,2,60,sigmoid,90863,149,4.859674569250301e-05
burgers_2d_81,0.09698670357465744,4.9173020670423284e-05,3.1757210194882646e-07,4.827391603612341e-05,9.776451042853296e-05,881.3764629364014,7,40,sin,37103,190,0.0016077720406382
burgers_2d_82,0.46368855237960815,0.04081486538052559,9.540232713334262e-05,0.05553492158651352,0.09644518792629242,426.81033062934875,3,30,sin,88842,59,1.0275531645180668e-05
burgers_2d_83,0.6515081524848938,0.05399777740240097,0.004008087795227766,0.13128730654716492,0.18929317593574524,653.9500336647034,6,18,relu,93092,67,0.0010401639328928
burgers_2d_84,0.6228846311569214,0.011276070959866047,0.05689285695552826,0.13566920161247253,0.20383813977241516,122.33590793609619,3,42,tanh,26234,70,0.0202427245016771
burgers_2d_85,1.0,7.193935619263997e-31,1.2147127748107778e-08,0.49683547019958496,0.49683547019958496,4817.009562492371,10,67,swish,87142,158,0.0059634585164523
burgers_2d_86,0.417441725730896,0.04102570563554764,0.0006098395679146051,0.04941684752702713,0.09105239808559418,160.7388153076172,2,64,sigmoid,44420,120,0.0063233663190276
burgers_2d_87,0.04462721571326256,0.0006517815636470914,1.695634455245454e-05,0.00012071886885678396,0.0007894567679613829,4906.5471448898315,10,75,sin,83321,192,0.0029729650521676
