pde,depth,width,activation,learning_rate,adam_beta2,adam_epochs,lbfgs_iters,grid_size,la_bc,adam_final_rrmse,final_rrmse,adam_time,lbfgs_time,training_time,seed
pde1,5,10,tanh,0.0005,0.999,80000,200,100,1.0,0.036981526762247086,0.03689869865775108,39217.03487300873,38.11125063896179,39255.14612364769,42
pde1,5,10,tanh,5e-05,0.999,80000,200,100,1.0,0.6336886286735535,0.6336860656738281,31631.934106111526,99.16808223724365,31731.10218834877,42
pde1,5,50,sin,0.05,0.999,80000,200,100,1.0,1.0,1.0,15524.634482383728,55.966676235198975,15580.601158618927,42
pde1,5,50,sin,0.005,0.999,80000,200,100,1.0,0.03662937879562378,0.0023549392353743315,4589.883603811264,123.50307750701904,4713.386681318283,42
pde1,5,50,sin,0.0005,0.999,80000,200,100,1.0,0.010726608335971832,0.009388897567987442,9187.940849542618,102.1366069316864,9290.077456474304,42
pde1,5,50,sin,5e-05,0.999,80000,200,100,1.0,0.018744949251413345,0.01874467544257641,6116.222487449646,87.71869659423828,6203.941184043884,42
pde1,5,50,swish,0.05,0.999,80000,200,100,1.0,1.0000015497207642,1.0,4518.408460855484,11.51452350616455,4529.922984361649,42
pde1,5,50,swish,0.005,0.999,80000,200,100,1.0,0.06280209124088287,0.013881501741707325,5554.483652591705,89.946848154068,5644.430500745773,42
pde1,5,50,swish,0.0005,0.999,80000,200,100,1.0,0.05428747087717056,0.052334025502204895,5451.758305311203,161.7740490436554,5613.532354354858,42
pde1,5,50,swish,5e-05,0.999,80000,200,100,1.0,0.36676856875419617,0.08407080918550491,4512.291519403458,808.9423971176147,5321.233916521072,42
pde1,5,50,tanh,0.05,0.999,80000,200,100,1.0,1.0000779628753662,1.0,5924.615039348602,15.865686655044556,5940.480726003647,42
pde1,5,50,tanh,0.005,0.999,80000,200,100,1.0,0.03827482834458351,0.031026912853121758,12594.985617399216,168.45901823043823,12763.444635629654,42
pde1,5,50,tanh,0.0005,0.999,80000,200,100,1.0,0.021025583148002625,0.011007354594767094,7602.161092758179,140.99729442596436,7743.158387184143,42
pde1,5,50,tanh,5e-05,0.999,80000,200,100,1.0,0.013155322521924973,0.012990068644285202,3704.3344571590424,72.44534063339233,3776.7797977924347,42
pde2,2,10,sin,0.05,0.999,80000,200,100,1.0,0.30567070841789246,0.3063634932041168,21474.420983314514,44.16845965385437,21518.58944296837,42
pde2,2,10,sin,0.005,0.999,80000,200,100,1.0,0.9697496294975281,0.9697011113166809,22659.84959435463,4.355265855789185,22664.20486021042,42
pde2,2,10,sin,0.0005,0.999,80000,200,100,1.0,0.9714809656143188,0.9714634418487549,21773.56427025795,4.424538850784302,21777.988809108734,42
pde2,2,10,sin,5e-05,0.999,80000,200,100,1.0,0.9726452827453613,0.9726499319076538,22162.794590234756,13.03388237953186,22175.82847261429,42
pde2,2,10,swish,0.05,0.999,80000,200,100,1.0,0.07990336418151855,0.03712062910199165,22627.96021103859,21.51578974723816,22649.476000785828,42
pde2,2,10,swish,0.005,0.999,80000,200,100,1.0,0.9732914566993713,0.9768939018249512,21355.70528626442,8.693039178848267,21364.398325443268,42
pde2,2,10,swish,0.0005,0.999,80000,200,100,1.0,0.9882757663726807,0.9882916212081909,21684.564083576202,4.422306776046753,21688.98639035225,42
pde2,2,10,swish,5e-05,0.999,80000,200,100,1.0,0.9840571284294128,0.9840615391731262,20942.742730140686,6.792420864105225,20949.53515100479,42
pde2,2,10,tanh,0.05,0.999,80000,200,100,1.0,0.043917130678892136,0.04396296292543411,21839.810796499252,27.255227088928223,21867.06602358818,42
pde2,2,10,tanh,0.005,0.999,80000,200,100,1.0,0.9854580163955688,0.9854745268821716,22163.348078250885,10.298319578170776,22173.646397829056,42
pde2,2,10,tanh,0.0005,0.999,80000,200,100,1.0,0.07796638458967209,0.049493759870529175,22006.253151655197,38.5404736995697,22044.793625354767,42
pde2,2,10,tanh,5e-05,0.999,80000,200,100,1.0,0.9822129607200623,0.9821856021881104,21955.831503868103,2.6758294105529785,21958.507333278656,42
pde2,2,50,sin,0.05,0.999,80000,200,100,1.0,0.15306240320205688,0.07688616961240768,20884.935332775116,1021.777214050293,21906.71254682541,42
pde2,2,50,sin,0.005,0.999,80000,200,100,1.0,0.14664088189601898,0.13164424896240234,6898.482207775116,691.7584433555603,7590.240651130676,42
pde2,2,50,sin,0.0005,0.999,80000,200,100,1.0,0.20147500932216644,0.2014695107936859,22113.18063879013,19.857258081436157,22133.037896871567,42
pde2,2,50,sin,5e-05,0.999,80000,200,100,1.0,0.3630087375640869,0.36300405859947205,17969.99867248535,297.7042067050934,18267.702879190445,42
pde2,2,50,swish,0.05,0.999,80000,200,100,1.0,0.31786444783210754,0.061249710619449615,21902.655895471573,296.4524030685425,22199.108298540115,42
pde2,2,50,swish,0.005,0.999,80000,200,100,1.0,0.1527860462665558,0.08179779350757599,10411.778527736664,920.4492042064667,11332.22773194313,42
pde2,2,50,swish,0.0005,0.999,80000,200,100,1.0,0.17908260226249695,0.05091989412903786,20788.906234025955,463.2239136695862,21252.13014769554,42
pde2,2,50,swish,5e-05,0.999,80000,200,100,1.0,0.9750316143035889,0.9750423431396484,16134.200229883194,375.1047594547272,16509.30498933792,42
pde2,2,50,tanh,0.05,0.999,80000,200,100,1.0,0.04426480829715729,0.03734922409057617,21801.022485733032,86.21612358093262,21887.238609313965,42
pde2,2,50,tanh,0.005,0.999,80000,200,100,1.0,0.03534124791622162,0.03533237800002098,22204.816963672638,2.616023540496826,22207.432987213135,42
pde2,2,50,tanh,0.0005,0.999,80000,200,100,1.0,0.1559755504131317,0.15594054758548737,10106.79858160019,51.3671760559082,10158.165757656097,42
pde2,2,50,tanh,5e-05,0.999,80000,200,100,1.0,0.972726047039032,0.9727239012718201,7951.832039117813,224.59787726402283,8176.429916381836,42
pde2,5,10,sin,0.05,0.999,80000,200,100,1.0,0.9862357378005981,0.9852292537689209,32411.892262220383,499.91912937164307,32911.811391592026,42
pde2,5,10,sin,0.005,0.999,80000,200,100,1.0,0.0058727688156068325,0.00594523549079895,9184.983296871185,50.48415970802307,9235.467456579208,42
pde2,5,10,sin,0.0005,0.999,80000,200,100,1.0,0.020881274715065956,0.020852159708738327,37006.08917570114,16.33275318145752,37022.4219288826,42
pde2,5,10,sin,5e-05,0.999,80000,200,100,1.0,0.04589021950960159,0.04591168090701103,40147.34851312637,2.4581873416900635,40149.80670046806,42
pde2,5,10,swish,0.05,0.999,80000,200,100,1.0,0.8587796688079834,0.8587796688079834,6258.654093027115,16.54043674468994,6275.194529771805,42
pde2,5,10,swish,0.005,0.999,80000,200,100,1.0,0.022412411868572235,0.02200300060212612,40498.94515252113,2.953233242034912,40501.89838576317,42
pde2,5,10,swish,0.0005,0.999,80000,200,100,1.0,0.04727190360426903,0.04726986959576607,38332.21394062042,13.126518487930298,38345.34045910835,42
pde2,5,10,swish,5e-05,0.999,80000,200,100,1.0,0.08739394694566727,0.0873953104019165,17712.296201705933,294.2603461742401,18006.556547880173,42
pde2,5,10,tanh,0.05,0.999,80000,200,100,1.0,0.8770585656166077,0.8587771058082581,38704.21236538887,10.436625957489014,38714.64899134636,42
pde2,5,10,tanh,0.005,0.999,80000,200,100,1.0,0.00371087365783751,0.0036822790279984474,39467.744349718094,4.229270696640015,39471.973620414734,42
pde2,5,10,tanh,0.0005,0.999,80000,200,100,1.0,0.05596689134836197,0.055965837091207504,5559.201026916504,104.27696061134338,5663.477987527847,42
pde2,5,10,tanh,5e-05,0.999,80000,200,100,1.0,0.9799472689628601,0.9797468185424805,39818.34636569023,4.641468286514282,39822.987833976746,42
pde2,5,50,sin,0.05,0.999,80000,200,100,1.0,0.8608033657073975,0.8588064312934875,14138.853637218475,388.6941227912903,14527.547760009766,42
pde2,5,50,sin,0.005,0.999,80000,200,100,1.0,0.968488872051239,0.039565831422805786,18563.86465406418,1677.4346885681152,20241.299342632294,42
pde2,5,50,sin,0.0005,0.999,80000,200,100,1.0,0.01655673421919346,0.016531268134713173,11698.67744088173,47.31823968887329,11745.995680570602,42
pde2,5,50,sin,5e-05,0.999,80000,200,100,1.0,0.05284855142235756,0.05284829065203667,7306.673068284988,115.20259428024292,7421.875662565231,42
pde2,5,50,swish,0.05,0.999,80000,200,100,1.0,0.9816388487815857,0.9882515668869019,4306.392632007599,96.42060256004333,4402.813234567642,42
pde2,5,50,swish,0.005,0.999,80000,200,100,1.0,0.006740441080182791,0.005896819289773703,5753.385173082352,35.15372133255005,5788.538894414902,42
pde2,5,50,swish,0.0005,0.999,80000,200,100,1.0,0.031348709017038345,0.03152153640985489,4432.108518123627,11.890704870223999,4443.999222993851,42
pde2,5,50,swish,5e-05,0.999,80000,200,100,1.0,0.06353852152824402,0.06353764235973358,4582.2877202034,62.60965538024902,4644.897375583649,42
pde2,5,50,tanh,0.05,0.999,80000,200,100,1.0,1.0497634410858154,0.9851984977722168,3744.4560165405273,11.511589050292969,3755.9676055908203,42
pde2,5,50,tanh,0.005,0.999,80000,200,100,1.0,0.9745919108390808,0.9719479084014893,7029.9775857925415,32.89596247673035,7062.873548269272,42
pde2,5,50,tanh,0.0005,0.999,80000,200,100,1.0,0.02454015426337719,0.02428547851741314,4186.855364084244,13.81138277053833,4200.666746854782,42
pde2,5,50,tanh,5e-05,0.999,80000,200,100,1.0,0.323465496301651,0.03891338035464287,5179.5102779865265,561.5690364837646,5741.079314470291,42
pde3,2,10,sin,0.05,0.999,80000,200,100,1.0,0.007029736414551735,0.0015476936241611838,14115.292656898499,363.67020297050476,14478.962859869003,42
pde3,2,10,sin,0.005,0.999,80000,200,100,1.0,0.0012341522378847003,0.001244020415470004,6328.089916467667,24.801113605499268,6352.891030073166,42
pde3,2,10,sin,0.0005,0.999,80000,200,100,1.0,0.002168141771107912,0.002167933387681842,7645.869204521179,24.92100763320923,7670.790212154388,42
pde3,2,10,sin,5e-05,0.999,80000,200,100,1.0,0.002490966347977519,0.002490020589902997,12272.61184668541,21.408892393112183,12294.020739078522,42
pde3,2,10,swish,0.05,0.999,80000,200,100,1.0,0.010243343189358711,0.00294809159822762,5863.460332632065,559.19757771492,6422.657910346985,42
pde3,2,10,swish,0.005,0.999,80000,200,100,1.0,0.01070146169513464,0.010692737065255642,9652.810268640518,26.41871929168701,9679.228987932205,42
pde3,2,10,swish,0.0005,0.999,80000,200,100,1.0,0.012749245390295982,0.012697165831923485,16988.955461978912,121.14445304870605,17110.09991502762,42
pde3,2,10,swish,5e-05,0.999,80000,200,100,1.0,0.02466520480811596,0.0050367009826004505,15402.904922485352,709.0027089118958,16111.907631397247,42
pde3,2,10,tanh,0.05,0.999,80000,200,100,1.0,0.05560474842786789,0.018238648772239685,6068.048930168152,791.1471810340881,6859.19611120224,42
pde3,2,10,tanh,0.005,0.999,80000,200,100,1.0,0.01778549887239933,0.01746571622788906,6911.192030906677,134.04970717430115,7045.241738080978,42
pde3,2,10,tanh,0.0005,0.999,80000,200,100,1.0,0.009340566582977772,0.009340512566268444,15254.933676242828,15.171932697296143,15270.105608940125,42
pde3,2,10,tanh,5e-05,0.999,80000,200,100,1.0,0.012204589322209358,0.012204994447529316,10138.253151416779,24.351884365081787,10162.60503578186,42
pde3,2,50,sin,0.05,0.999,80000,200,100,1.0,0.006481355056166649,0.0010072418954223394,5100.693787097931,415.53668785095215,5516.230474948883,42
pde3,2,50,sin,0.005,0.999,80000,200,100,1.0,0.007343004923313856,0.0011257530422881246,5079.871008634567,21.814762353897095,5101.685770988464,42
pde3,2,50,sin,0.0005,0.999,80000,200,100,1.0,0.0018007359467446804,0.001801017322577536,20521.587655067444,112.36847186088562,20633.95612692833,42
pde3,2,50,sin,5e-05,0.999,80000,200,100,1.0,0.0051916358061134815,0.005195671692490578,6810.353068828583,21.37561058998108,6831.728679418564,42
pde3,2,50,swish,0.05,0.999,80000,200,100,1.0,0.0036783700343221426,0.0011541420826688409,6267.210331916809,674.1078970432281,6941.318228960037,42
pde3,2,50,swish,0.005,0.999,80000,200,100,1.0,0.007014379370957613,0.0012838842812925577,5648.5714457035065,205.88705706596375,5854.45850276947,42
pde3,2,50,swish,0.0005,0.999,80000,200,100,1.0,0.002530560130253434,0.0022985804826021194,6188.680490255356,19.510214805603027,6208.190705060959,42
pde3,2,50,swish,5e-05,0.999,80000,200,100,1.0,0.0021633440628647804,0.002132097724825144,5791.955603122711,17.378459692001343,5809.3340628147125,42
pde3,2,50,tanh,0.05,0.999,80000,200,100,1.0,0.002626266563311219,0.000550447846762836,8133.990401268005,658.7503981590271,8792.740799427032,42
pde3,2,50,tanh,0.005,0.999,80000,200,100,1.0,0.001390479621477425,0.0009121771436184645,5525.338266849518,12.024923324584961,5537.363190174103,42
pde3,2,50,tanh,0.0005,0.999,80000,200,100,1.0,0.0014608794590458274,0.0014715205179527402,21744.52020072937,7.339735746383667,21751.859936475754,42
pde3,2,50,tanh,5e-05,0.999,80000,200,100,1.0,0.001506060711108148,0.0015067409258335829,6461.624676465988,16.145434856414795,6477.770111322403,42
pde3,5,10,sin,0.05,0.999,80000,200,100,1.0,0.07727755606174469,0.00029178999830037355,39766.66624903679,138.98892092704773,39905.65516996384,42
pde3,5,10,sin,0.005,0.999,80000,200,100,1.0,0.0023296168074011803,0.0008293200517073274,37722.7768740654,149.56397557258606,37872.340849637985,42
pde3,5,10,sin,0.0005,0.999,80000,200,100,1.0,0.001285787089727819,0.0012858195696026087,40632.380061388016,3.079759359359741,40635.459820747375,42
pde3,5,10,sin,5e-05,0.999,80000,200,100,1.0,0.001595866633579135,0.0015933458926156163,27458.343746185303,48.83160448074341,27507.175350666046,42
pde3,5,10,swish,0.05,0.999,80000,200,100,1.0,0.022720111533999443,0.0002940999111160636,10869.076964139938,454.38390588760376,11323.460870027542,42
pde3,5,10,swish,0.005,0.999,80000,200,100,1.0,0.0008968021720647812,0.0003690327284857631,5517.955787658691,20.66487979888916,5538.620667457581,42
pde3,5,10,swish,0.0005,0.999,80000,200,100,1.0,0.0010834226850420237,0.0006544688367284834,11580.518478155136,33.77792167663574,11614.296399831772,42
pde3,5,10,swish,5e-05,0.999,80000,200,100,1.0,0.0011187096824869514,0.00111963611561805,7174.9001314640045,18.884886741638184,7193.785018205643,42
pde3,5,10,tanh,0.05,0.999,80000,200,100,1.0,1.0,1.0,38853.94891285896,7.856650114059448,38861.80556297302,42
pde3,5,10,tanh,0.005,0.999,80000,200,100,1.0,0.008738751523196697,0.00038758068694733083,37481.861120224,115.22339749336243,37597.08451771736,42
pde3,5,10,tanh,0.0005,0.999,80000,200,100,1.0,0.003380437847226858,0.0013614187482744455,14705.071363687515,50.28125858306885,14755.352622270584,42
pde3,5,10,tanh,5e-05,0.999,80000,200,100,1.0,0.0014075046638026834,0.001407820382155478,39449.04621863365,5.958943605422974,39455.005162239075,42
pde3,5,50,sin,0.05,0.999,80000,200,100,1.0,1.0,1.0,5308.208745718002,40.453362703323364,5348.662108421326,42
pde3,5,50,sin,0.005,0.999,80000,200,100,1.0,0.003143779467791319,0.0004166691214777529,5639.458072185516,111.01839685440063,5750.476469039917,42
pde3,5,50,sin,0.0005,0.999,80000,200,100,1.0,0.0016054034931585193,0.0016117494087666273,3965.575647354126,10.78395962715149,3976.3596069812775,42
pde3,5,50,sin,5e-05,0.999,80000,200,100,1.0,0.0012109145754948258,0.0012098615989089012,5401.928413152695,14.188472747802734,5416.116885900497,42
pde3,5,50,swish,0.05,0.999,80000,200,100,1.0,0.7553653717041016,0.7550835013389587,4281.514997720718,98.65859293937683,4380.173590660095,42
pde3,5,50,swish,0.005,0.999,80000,200,100,1.0,0.0018407239113003016,0.00012293599138502032,4015.2493262290955,47.52531385421753,4062.774640083313,42
pde3,5,50,swish,0.0005,0.999,80000,200,100,1.0,0.004367274697870016,0.0002055065706372261,17750.205302238464,83.26888227462769,17833.474184513092,42
pde3,5,50,swish,5e-05,0.999,80000,200,100,1.0,0.00027856850647367537,0.00022270971385296434,10383.779794692993,22.671436548233032,10406.451231241226,42
pde3,5,50,tanh,0.05,0.999,80000,200,100,1.0,1.0135737657546997,1.0,13369.640157222748,35.3491849899292,13404.989342212677,42
pde3,5,50,tanh,0.005,0.999,80000,200,100,1.0,0.012429852969944477,0.00023908707953523844,7877.873042583466,73.62174081802368,7951.494783401489,42
pde3,5,50,tanh,0.0005,0.999,80000,200,100,1.0,0.000962777528911829,0.0005063438438810408,7907.494561672211,20.515661478042603,7928.010223150253,42
