pde,trial,d_hidden,d_model,mapping_size,n_params,lbfgs_iters,final_rrmse,final_rmae,train_time,seed
pde2,8,256,32,96,167471,1000,0.005346896375710813,0.0023730083003892745,263.0851790904999,42
pde2,9,512,16,32,348319,1000,0.007518261205769572,0.0034718216210737596,450.16712617874146,42
pde2,10,128,128,32,239631,1000,0.0054457597987021,0.0025278742029997484,293.7881863117218,42
pde2,11,128,64,64,148943,1000,0.005307273404567339,0.001888314407797576,274.1695339679718,42
pde2,12,768,16,16,680351,1000,0.00826569635231648,0.004157319342869529,886.7045137882233,42
pde2,13,512,128,16,531599,1000,0.01350836732854771,0.0070748878461100225,451.5166862010956,42
pde2,14,128,64,128,157135,1000,0.004722982969490506,0.002423884478530276,285.1355495452881,42
pde2,15,128,64,96,153039,1000,0.004485613767220214,0.0021597968443274078,270.9965054988861,42
pde2,16,768,16,128,683935,1000,0.0013523409842529537,0.0007378000223257645,537.4508216381073,42
pde2,17,128,16,32,95263,1000,0.008696883946281547,0.003379166613917267,282.6199038028717,42
pde2,18,128,32,128,115887,1000,0.005133248456261836,0.0018802747724555849,291.2264575958252,42
pde2,19,768,128,128,921487,1000,0.009808912446179293,0.003989624837385154,519.5095324516296,42
pde2,20,128,32,32,109743,1000,0.003281614139276585,0.0015065930683307673,261.8767764568329,42
pde2,21,512,128,48,539791,1000,0.007044448557361551,0.003346233554154119,373.7038207054138,42
pde2,22,512,16,16,347807,1000,0.013943116532038528,0.00650182143523644,555.0874276161194,42
pde2,23,256,64,32,202575,1000,0.00912700431427418,0.004242574953641388,292.11118602752686,42
pde2,24,768,64,64,765263,1000,0.0048895972290177395,0.0023632392115650147,526.545571565628,42
pde2,25,256,128,80,317839,1000,0.002360877028268362,0.0012431991602544186,318.9642143249512,42
pde2,26,128,32,48,110767,1000,0.008989205585303021,0.003342471835811886,260.92226457595825,42
pde2,27,256,32,32,163375,1000,0.007288229486829291,0.0035784681354460333,294.960088968277,42
