pde,depth,width,activation,learning_rate,adam_beta2,adam_epochs,lbfgs_iters,grid_size,la_bc,adam_final_rrmse,final_rrmse,adam_time,lbfgs_time,training_time,seed
pde2,5,10,sin,0.0005,0.9,80000,200,100,1.0,0.02419421076774597,0.024059763178229332,60713.23758935928,2.6616263389587402,60715.89921569824,42
pde2,5,10,sin,5e-05,0.9,80000,200,100,1.0,0.022538810968399048,0.02255016192793846,12632.406262874603,30.853026866912842,12663.259289741516,42
pde2,5,10,swish,0.05,0.9,80000,200,100,1.0,0.028689760714769363,0.025812502950429916,26511.22812771797,227.08615112304688,26738.31427884102,42
pde2,5,10,swish,0.005,0.9,80000,200,100,1.0,0.014293079264461994,0.014390467666089535,9259.855612277985,27.41944408416748,9287.275056362152,42
pde2,5,10,swish,0.0005,0.9,80000,200,100,1.0,0.039247624576091766,0.03952229395508766,5648.84956908226,15.245094776153564,5664.094663858414,42
pde2,5,10,swish,5e-05,0.9,80000,200,100,1.0,0.08995745331048965,0.08988864719867706,14090.375826120377,22.27952218055725,14112.655348300934,42
pde2,5,10,tanh,0.05,0.9,80000,200,100,1.0,0.041917718946933746,0.018189284950494766,60319.722694158554,24.766366004943848,60344.4890601635,42
pde2,5,10,tanh,0.005,0.9,80000,200,100,1.0,0.007824840024113655,0.008040092885494232,38342.009491443634,60.71351170539856,38402.72300314903,42
pde2,5,10,tanh,0.0005,0.9,80000,200,100,1.0,0.13352622091770172,0.03707410395145416,57370.92832970619,185.18641257286072,57556.11474227905,42
pde2,5,10,tanh,5e-05,0.9,80000,200,100,1.0,0.7945960760116577,0.03618992492556572,52196.17357993126,564.8902649879456,52761.063844919205,42
pde2,5,50,sin,0.05,0.9,80000,200,100,1.0,0.9882493019104004,0.9858794808387756,7185.288050413132,285.9941506385803,7471.282201051712,42
pde2,5,50,sin,0.005,0.9,80000,200,100,1.0,0.021973133087158203,0.023458212614059448,11377.361021518707,66.63475370407104,11443.995775222778,42
pde2,5,50,sin,0.0005,0.9,80000,200,100,1.0,0.017108440399169922,0.01602424494922161,5632.501788854599,36.11633276939392,5668.618121623993,42
pde2,5,50,sin,5e-05,0.9,80000,200,100,1.0,0.06019067019224167,0.06033026799559593,8654.97544670105,31.65560269355774,8686.631049394608,42
pde2,5,50,swish,0.05,0.9,80000,200,100,1.0,0.9875543117523193,0.9851984977722168,5220.65974521637,15.105175018310547,5235.76492023468,42
pde2,5,50,swish,0.005,0.9,80000,200,100,1.0,0.00274673942476511,0.002110124798491597,5384.592273235321,27.331375122070312,5411.923648357391,42
pde2,5,50,swish,0.0005,0.9,80000,200,100,1.0,0.030025377869606018,0.030504293739795685,4280.470752239227,15.284755945205688,4295.755508184433,42
pde2,5,50,swish,5e-05,0.9,80000,200,100,1.0,0.06120049208402634,0.060993775725364685,4234.05716586113,14.187382936477661,4248.244548797607,42
pde2,5,50,tanh,0.05,0.9,80000,200,100,1.0,0.7076725363731384,0.9851969480514526,17808.42595934868,40.502026081085205,17848.927985429764,42
pde2,5,50,tanh,0.005,0.9,80000,200,100,1.0,0.017200086265802383,0.015522760339081287,12802.570741176605,70.33593559265137,12872.906676769257,42
pde2,5,50,tanh,0.0005,0.9,80000,200,100,1.0,0.021915733814239502,0.02233275957405567,4001.700646877289,18.347167015075684,4020.0478138923645,42
pde2,5,50,tanh,5e-05,0.9,80000,200,100,1.0,0.07239002734422684,0.0719931349158287,3602.6749351024628,14.674189329147339,3617.34912443161,42
pde3,2,10,sin,0.05,0.9,80000,200,100,1.0,0.015068203210830688,0.0008262363262474537,5632.672329902649,395.4467761516571,6028.119106054306,42
pde3,2,10,sin,0.005,0.9,80000,200,100,1.0,0.008231878280639648,0.0012958497973158956,5836.76088643074,290.7554843425751,6127.516370773315,42
pde3,2,10,sin,0.0005,0.9,80000,200,100,1.0,0.0019061585189774632,0.0018494953401386738,6771.600288391113,28.714488983154297,6800.314777374268,42
pde3,2,10,sin,5e-05,0.9,80000,200,100,1.0,0.0022739688865840435,0.0022755449172109365,31415.736090898514,6.813604116439819,31422.549695014954,42
pde3,2,10,swish,0.05,0.9,80000,200,100,1.0,0.07780659943819046,0.0049055651761591434,6487.57031750679,741.712602853775,7229.282920360565,42
pde3,2,10,swish,0.005,0.9,80000,200,100,1.0,0.010451087728142738,0.009067247621715069,29329.041955947876,111.6027557849884,29440.644711732864,42
pde3,2,10,swish,0.0005,0.9,80000,200,100,1.0,0.017349060624837875,0.01721908710896969,25304.25468635559,118.37433552742004,25422.62902188301,42
pde3,2,10,swish,5e-05,0.9,80000,200,100,1.0,0.016507361084222794,0.0059090880677104,6757.806001424789,692.6167135238647,7450.422714948654,42
